id,path,text_name,extension,size,folder,num_files,depth,parent,uid
235,Google_20221008/Google Pay/在 Google 产品和服务中完成的交易,在 Google 产品和服务中完成的交易,,277,1,1,2,232,501
236,Google_20221008/Google Pay/在 Google 产品和服务中完成的交易/transactions_185080390506.csv,transactions_185080390506,csv,277,0,,2,235,501
237,Google_20221008/Google Pay/已保存的项（包括会员卡和礼品卡）,已保存的项（包括会员卡和礼品卡）,,70577,1,1,2,232,501
238,Google_20221008/Google Pay/已保存的项（包括会员卡和礼品卡）/积分、礼品卡和优惠.pdf,积分、礼品卡和优惠,pdf,70577,0,,2,237,501
239,Google_20221008/网上论坛,网上论坛,,498,1,2,1,1,501
240,Google_20221008/网上论坛/googlegroups.com,googlegroups.com,,370,1,2,2,239,501
241,Google_20221008/网上论坛/googlegroups.com/用户数据,用户数据,,242,1,2,3,240,501
242,Google_20221008/网上论坛/googlegroups.com/用户数据/近期活动记录,近期活动记录,,114,1,2,4,241,501
243,Google_20221008/网上论坛/googlegroups.com/用户数据/近期活动记录/近期查看过的群组.csv,近期查看过的群组,csv,41,0,,4,242,501
244,Google_20221008/网上论坛/googlegroups.com/用户数据/近期活动记录/近期查看过的讨论.csv,近期查看过的讨论,csv,73,0,,4,242,501
245,Google_20221008/Chrome,Chrome,,7470138,1,7,1,1,501
246,Google_20221008/Chrome/Autofill.json,Autofill,json,3165,0,,1,245,501
247,Google_20221008/Chrome/BrowserHistory.json,BrowserHistory,json,7433903,0,,1,245,501
248,Google_20221008/Chrome/SearchEngines.json,SearchEngines,json,17333,0,,1,245,501
249,Google_20221008/Chrome/SyncSettings.json,SyncSettings,json,4786,0,,1,245,501
250,Google_20221008/Chrome/Bookmarks.html,Bookmarks,html,8860,0,,1,245,501
251,Google_20221008/Chrome/Extensions.json,Extensions,json,2091,0,,1,245,501
252,Google_20221008/Chrome/Dictionary.csv,Dictionary,csv,0,0,,1,245,501
253,Google_20221008/地图（您的地点）,地图（您的地点）,,2232,1,1,1,1,501
254,Google_20221008/地图（您的地点）/已保存的地点.json,已保存的地点,json,2232,0,,1,253,501
255,Google_20221008/Android 设备配置服务,Android 设备配置服务,,7443,1,2,1,1,501
256,Google_20221008/Android 设备配置服务/Device-5201922587507495023.html,Device-5201922587507495023,html,3025,0,,1,255,501
257,Google_20221008/Android 设备配置服务/Device-4648689243054281338.html,Device-4648689243054281338,html,4418,0,,1,255,501
258,Google_20221008/Google Play 影视,Google Play 影视,,10,1,5,1,1,501
259,Google_20221008/Google Play 影视/关联的服务.json,关联的服务,json,2,0,,1,258,501
260,Google_20221008/Google Play 影视/观看列表.json,观看列表,json,2,0,,1,258,501
